participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.period_number,player.subperiod_time,player.transport_cost,player.loc,player.price,player.boundary_lo,player.boundary_hi,player.market_share,player.round_payoff,player.cumulative_round_payoff,player.paid_period,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,jzgy40of,LEEPS_12,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.893609+00:00,0,1,,,3,4,7,1.0,0.625,0.82,0.0,0.0,0.0,0.0,0.0,1,0.00,2,1,7kt2b4w3,,,,,,,,0
2,bxw9n1kt,LEEPS_6,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.922953+00:00,0,1,,,3,4,7,1.0,0.625,0.15,0.15,1.0,0.85,0.1275,0.006375,1,0.00,3,1,7kt2b4w3,,,,,,,,0
3,hglc1vkz,LEEPS_11,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.938289+00:00,0,1,,,2,4,7,1.0,0.375,0.11,0.205,0.805,0.6,0.066,0.0033,1,0.00,2,1,7kt2b4w3,,,,,,,,0
4,0zxo4qdu,LEEPS_3,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.983562+00:00,0,1,,,2,4,7,1.0,0.375,0.43,0.0,0.375,0.375,0.16125,0.0080625,1,0.00,1,1,7kt2b4w3,,,,,,,,0
5,6ghgybim,LEEPS_2,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.986814+00:00,0,1,,,1,4,7,1.0,0.125,0.2,0.0,0.205,0.205,0.041,0.00205,1,0.00,2,1,7kt2b4w3,,,,,,,,0
6,7j0ajx2i,LEEPS_7,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.993881+00:00,0,1,,,4,4,7,1.0,0.875,0.53,0.0,0.0,0.0,0.0,0.0,1,0.00,1,1,7kt2b4w3,,,,,,,,0
7,lg8skrrk,LEEPS_8,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.053374+00:00,0,1,,,2,4,7,1.0,0.375,0.9,0.0,0.0,0.0,0.0,0.0,1,0.00,3,1,7kt2b4w3,,,,,,,,0
8,brltr2qq,LEEPS_1,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.058171+00:00,0,1,,,1,4,7,1.0,0.125,0.73,0.0,0.0,0.0,0.0,0.0,1,0.00,1,1,7kt2b4w3,,,,,,,,0
9,fyfkyoey,LEEPS_10,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.062266+00:00,0,1,,,1,4,7,1.0,0.125,0.6,0.0,0.15,0.15,0.09,0.0045,1,0.00,3,1,7kt2b4w3,,,,,,,,0
10,vd86l11u,LEEPS_9,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.133542+00:00,0,1,,,3,4,7,1.0,0.625,0.18,0.375,1.0,0.625,0.1125,0.005625,1,0.00,1,1,7kt2b4w3,,,,,,,,0
11,3s0guyma,LEEPS_4,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:48.516961+00:00,0,1,,,4,4,7,1.0,0.875,0.51,0.0,0.0,0.0,0.0,0.0,1,0.00,3,1,7kt2b4w3,,,,,,,,0
12,cz17uo63,LEEPS_5,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:24:17.231040+00:00,0,1,,,4,4,7,1.0,0.875,0.47,0.805,1.0,0.195,0.09165,0.0045825,1,0.00,2,1,7kt2b4w3,,,,,,,,0
1,jzgy40of,LEEPS_12,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.893609+00:00,0,1,,,3,4,7,1.0,0.625,0.82,0.0,0.0,0.0,0.0,0.0,1,0.00,2,2,7kt2b4w3,,,,,,,,0
2,bxw9n1kt,LEEPS_6,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.922953+00:00,0,1,,,3,4,7,1.0,0.625,0.38,0.0,0.0,0.0,0.0,0.006375,1,0.00,3,2,7kt2b4w3,,,,,,,,0
3,hglc1vkz,LEEPS_11,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.938289+00:00,0,1,,,2,4,7,1.0,0.375,0.45,0.36,0.685,0.325,0.14625,0.0106125,1,0.00,2,2,7kt2b4w3,,,,,,,,0
4,0zxo4qdu,LEEPS_3,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.983562+00:00,0,1,,,2,4,7,1.0,0.375,0.42,0.275,0.42,0.145,0.0609,0.0111075,1,0.00,1,2,7kt2b4w3,,,,,,,,0
5,6ghgybim,LEEPS_2,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.986814+00:00,0,1,,,1,4,7,1.0,0.125,0.23,0.0,0.36,0.36,0.0828,0.00619,1,0.00,2,2,7kt2b4w3,,,,,,,,0
6,7j0ajx2i,LEEPS_7,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.993881+00:00,0,1,,,4,4,7,1.0,0.875,0.7,0.0,0.0,0.0,0.0,0.0,1,0.00,1,2,7kt2b4w3,,,,,,,,0
7,lg8skrrk,LEEPS_8,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.053374+00:00,0,1,,,2,4,7,1.0,0.375,0.83,0.0,0.0,0.0,0.0,0.0,1,0.00,3,2,7kt2b4w3,,,,,,,,0
8,brltr2qq,LEEPS_1,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.058171+00:00,0,1,,,1,4,7,1.0,0.125,0.37,0.0,0.275,0.275,0.10175,0.0050875,1,0.00,1,2,7kt2b4w3,,,,,,,,0
9,fyfkyoey,LEEPS_10,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.062266+00:00,0,1,,,1,4,7,1.0,0.125,0.35,0.0,0.35,0.35,0.1225,0.010625,1,0.00,3,2,7kt2b4w3,,,,,,,,0
10,vd86l11u,LEEPS_9,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.133542+00:00,0,1,,,3,4,7,1.0,0.625,0.26,0.42,1.0,0.58,0.1508,0.013165,1,0.00,1,2,7kt2b4w3,,,,,,,,0
11,3s0guyma,LEEPS_4,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:48.516961+00:00,0,1,,,4,4,7,1.0,0.875,0.05,0.35,1.0,0.65,0.0325,0.001625,1,0.00,3,2,7kt2b4w3,,,,,,,,0
12,cz17uo63,LEEPS_5,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:24:17.231040+00:00,0,1,,,4,4,7,1.0,0.875,0.57,0.685,1.0,0.315,0.17955,0.01356,1,0.00,2,2,7kt2b4w3,,,,,,,,0
1,jzgy40of,LEEPS_12,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.893609+00:00,0,1,,,3,4,7,1.0,0.625,0.82,0.0,0.0,0.0,0.0,0.0,1,0.00,2,3,7kt2b4w3,,,,,,,,0
2,bxw9n1kt,LEEPS_6,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.922953+00:00,0,1,,,3,4,7,1.0,0.625,0.03,0.245,1.0,0.755,0.02265,0.0075075,1,0.00,3,3,7kt2b4w3,,,,,,,,0
3,hglc1vkz,LEEPS_11,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.938289+00:00,0,1,,,2,4,7,1.0,0.375,0.23,0.155,0.795,0.64,0.1472,0.0179725,1,0.00,2,3,7kt2b4w3,,,,,,,,0
4,0zxo4qdu,LEEPS_3,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.983562+00:00,0,1,,,2,4,7,1.0,0.375,0.31,0.235,0.605,0.37,0.1147,0.0168425,1,0.00,1,3,7kt2b4w3,,,,,,,,0
5,6ghgybim,LEEPS_2,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.986814+00:00,0,1,,,1,4,7,1.0,0.125,0.42,0.0,0.155,0.155,0.0651,0.009445,1,0.00,2,3,7kt2b4w3,,,,,,,,0
6,7j0ajx2i,LEEPS_7,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.993881+00:00,0,1,,,4,4,7,1.0,0.875,0.51,0.745,1.0,0.255,0.13005,0.0065025,1,0.00,1,3,7kt2b4w3,,,,,,,,0
7,lg8skrrk,LEEPS_8,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.053374+00:00,0,1,,,2,4,7,1.0,0.375,0.79,0.0,0.0,0.0,0.0,0.0,1,0.00,3,3,7kt2b4w3,,,,,,,,0
8,brltr2qq,LEEPS_1,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.058171+00:00,0,1,,,1,4,7,1.0,0.125,0.34,0.0,0.235,0.235,0.0799,0.0090825,1,0.00,1,3,7kt2b4w3,,,,,,,,0
9,fyfkyoey,LEEPS_10,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.062266+00:00,0,1,,,1,4,7,1.0,0.125,0.29,0.0,0.245,0.245,0.07105,0.0141775,1,0.00,3,3,7kt2b4w3,,,,,,,,0
10,vd86l11u,LEEPS_9,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.133542+00:00,0,1,,,3,4,7,1.0,0.625,0.52,0.605,0.745,0.14,0.0727999999999999,0.016805,1,0.00,1,3,7kt2b4w3,,,,,,,,0
11,3s0guyma,LEEPS_4,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:48.516961+00:00,0,1,,,4,4,7,1.0,0.875,0.61,0.0,0.0,0.0,0.0,0.001625,1,0.00,3,3,7kt2b4w3,,,,,,,,0
12,cz17uo63,LEEPS_5,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:24:17.231040+00:00,0,1,,,4,4,7,1.0,0.875,0.57,0.795,1.0,0.205,0.11685,0.0194025,1,0.00,2,3,7kt2b4w3,,,,,,,,0
1,jzgy40of,LEEPS_12,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.893609+00:00,0,1,,,3,4,7,1.0,0.625,0.82,0.0,0.0,0.0,0.0,0.0,1,0.00,2,4,7kt2b4w3,,,,,,,,0
2,bxw9n1kt,LEEPS_6,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.922953+00:00,0,1,,,3,4,7,1.0,0.625,0.19,0.325,0.725,0.4,0.076,0.0113075,1,0.00,3,4,7kt2b4w3,,,,,,,,0
3,hglc1vkz,LEEPS_11,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.938289+00:00,0,1,,,2,4,7,1.0,0.375,0.57,0.0,0.0,0.0,0.0,0.0179725,1,0.00,2,4,7kt2b4w3,,,,,,,,0
4,0zxo4qdu,LEEPS_3,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.983562+00:00,0,1,,,2,4,7,1.0,0.375,0.4,0.29,0.425,0.135,0.054,0.0195425,1,0.00,1,4,7kt2b4w3,,,,,,,,0
5,6ghgybim,LEEPS_2,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.986814+00:00,0,1,,,1,4,7,1.0,0.125,0.21,0.0,0.68,0.68,0.1428,0.016585,1,0.00,2,4,7kt2b4w3,,,,,,,,0
6,7j0ajx2i,LEEPS_7,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.993881+00:00,0,1,,,4,4,7,1.0,0.875,0.53,0.0,0.0,0.0,0.0,0.0065025,1,0.00,1,4,7kt2b4w3,,,,,,,,0
7,lg8skrrk,LEEPS_8,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.053374+00:00,0,1,,,2,4,7,1.0,0.375,0.79,0.0,0.0,0.0,0.0,0.0,1,0.00,3,4,7kt2b4w3,,,,,,,,0
8,brltr2qq,LEEPS_1,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.058171+00:00,0,1,,,1,4,7,1.0,0.125,0.32,0.0,0.29,0.29,0.0928,0.0137225,1,0.00,1,4,7kt2b4w3,,,,,,,,0
9,fyfkyoey,LEEPS_10,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.062266+00:00,0,1,,,1,4,7,1.0,0.125,0.29,0.0,0.325,0.325,0.09425,0.01889,1,0.00,3,4,7kt2b4w3,,,,,,,,0
10,vd86l11u,LEEPS_9,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:16.133542+00:00,0,1,,,3,4,7,1.0,0.625,0.25,0.425,1.0,0.575,0.14375,0.0239925,1,0.00,1,4,7kt2b4w3,,,,,,,,0
11,3s0guyma,LEEPS_4,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:48.516961+00:00,0,1,,,4,4,7,1.0,0.875,0.14,0.725,1.0,0.275,0.0385,0.00355,1,0.00,3,4,7kt2b4w3,,,,,,,,0
12,cz17uo63,LEEPS_5,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:24:17.231040+00:00,0,1,,,4,4,7,1.0,0.875,0.57,0.68,1.0,0.32,0.1824,0.0285225,1,0.00,2,4,7kt2b4w3,,,,,,,,0
1,jzgy40of,LEEPS_12,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.893609+00:00,0,1,,,3,4,7,1.0,0.625,0.57,0.0,0.0,0.0,0.0,0.0,1,0.00,2,5,7kt2b4w3,,,,,,,,0
2,bxw9n1kt,LEEPS_6,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.922953+00:00,0,1,,,3,4,7,1.0,0.625,0.1,0.325,1.0,0.675,0.0675,0.0146825,1,0.00,3,5,7kt2b4w3,,,,,,,,0
3,hglc1vkz,LEEPS_11,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.938289+00:00,0,1,,,2,4,7,1.0,0.375,0.24,0.23,0.54,0.31,0.0744,0.0216925,1,0.00,2,5,7kt2b4w3,,,,,,,,0
4,0zxo4qdu,LEEPS_3,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.983562+00:00,0,1,,,2,4,7,1.0,0.375,0.29,0.19,0.48,0.29,0.0841,0.0237475,1,0.00,1,5,7kt2b4w3,,,,,,,,0
5,6ghgybim,LEEPS_2,0,1804,1804,hotellingmarkup_payment_20,1,end,128.114.138.3,2017-02-08 21:23:15.986814+00:00,0,1,,,1,4,7,1.0,0.125,0.28,0.0,0.23,0.23,0.0644,0.019805,1,0.00,2,5,7kt2b4w3,,,,,,,,0
